Installed distributed generation trends

From www.emi.ea.govt.nz provided by the Electricity Authority (New Zealand)
Run at: 20240907174344

Parameters
Date range,01 Sep 2013 - 31 Jul 2024
Region type,Regional council
Market segment,All ICPs
Capacity,All combined
Fuel type,Solar (all)

Month end,Region ID,Region name,Capacity,Fuel type,ICP count,ICP uptake rate (%),Total capacity installed (MW),Avg. capacity installed (kW),ICP count - new installations,Avg. capacity - new installations (kW)
31/08/2015,16,Tasman,All combined,Solar (All),233,1.00644,1.047,4.495,9,3.894
31/08/2015,17,Nelson,All combined,Solar (All),201,0.83302,0.836,4.160,9,3.003
31/08/2015,18,Marlborough,All combined,Solar (All),160,0.64550,0.660,4.125,4,3.225
31/08/2015,12,West Coast,All combined,Solar (All),17,0.09437,0.065,3.812,1,6.000
31/08/2015,13,Canterbury,All combined,Solar (All),1399,0.50079,5.537,3.958,52,4.558
31/08/2015,14,Otago,All combined,Solar (All),502,0.44469,1.953,3.890,14,3.714
31/08/2015,15,Southland,All combined,Solar (All),155,0.29961,0.819,5.284,13,4.615
30/09/2015,1,Northland,All combined,Solar (All),414,0.47595,1.866,4.508,37,3.907
30/09/2015,2,Auckland,All combined,Solar (All),2274,0.38949,8.648,3.803,83,3.298
30/09/2015,3,Waikato,All combined,Solar (All),907,0.41257,3.393,3.740,48,8.450
30/09/2015,4,Bay of Plenty,All combined,Solar (All),388,0.28527,1.583,4.079,14,3.557
30/09/2015,5,Gisborne,All combined,Solar (All),42,0.23129,0.174,4.150,1,9.000
30/09/2015,6,Hawke's Bay,All combined,Solar (All),350,0.45179,1.498,4.279,18,3.363
30/09/2015,7,Taranaki,All combined,Solar (All),169,0.28963,0.659,3.897,20,3.745
30/09/2015,8,Manawatu-Wanganui,All combined,Solar (All),300,0.25495,1.243,4.144,19,3.523
30/09/2015,9,Wellington,All combined,Solar (All),703,0.32039,2.475,3.520,28,3.622
30/09/2015,16,Tasman,All combined,Solar (All),243,1.04927,1.078,4.438,10,3.088
30/09/2015,17,Nelson,All combined,Solar (All),214,0.88518,0.881,4.117,13,3.459
30/09/2015,18,Marlborough,All combined,Solar (All),166,0.66933,0.675,4.069,6,2.583
30/09/2015,12,West Coast,All combined,Solar (All),17,0.09427,0.065,3.812,0,
30/09/2015,13,Canterbury,All combined,Solar (All),1485,0.53034,5.883,3.962,85,4.090
